username,user_id,title,text,tags,sentiment,developer,narrativa,jugabilidad,atmósfera,dificultad,tono_emocional
TheGamingN00b,76561198038954363,The Moon Sliver,"A confusing, meaningless and self-serving shell of a video game. The Worst Kind of walking simulator.","['Walking Simulator', 'Adventure', 'Psychological Horror', 'Exploration', 'Story Rich', 'First-Person', 'Indie', 'Horror', 'Short']",Mostly Positive,David Szymanski,1,1,2,1,negativo
pablonesmrtelny,76561198182982775,The Moon Sliver,Good story and atmosphere. I love David Szymanski's storytelling. The story gets expanded in the sequel The Music Machine which is even better. I recommend both. 7/10,"['Walking Simulator', 'Adventure', 'Psychological Horror', 'Exploration', 'Story Rich', 'First-Person', 'Indie', 'Horror', 'Short']",Mostly Positive,David Szymanski,4,3,4,2,positivo
Saint Aaron,76561198011965365,The Moon Sliver,This was a short game but i enjoyed it. The gameplay was okay but the creepy soundtrack and the story was well done. Small little puzzles that were not hard to do. At the end I looked at this game as a visual novel which I enjoyed. Hope to see more games like this! Pros Creepy soundtrack puzzles Cons Short gameplay,"['Walking Simulator', 'Adventure', 'Psychological Horror', 'Exploration', 'Story Rich', 'First-Person', 'Indie', 'Horror', 'Short']",Mostly Positive,David Szymanski,4,3,4,2,positivo
Aqua,76561198048295196,The Moon Sliver,"The Moon Sliver is a fairly low price game, meaning just about anyone can buy this if they wanted to. It's got a good atmosphere, a somewhat good pace, intersting story, and the weirdest freaking ending ever. Not much else to say, so... 7.2/10","['Walking Simulator', 'Adventure', 'Psychological Horror', 'Exploration', 'Story Rich', 'First-Person', 'Indie', 'Horror', 'Short']",Mostly Positive,David Szymanski,4,3,4,2,positivo
EdgyAllenPoe,76561198116853931,The Moon Sliver,"STORY: The Moon Sliver is a mystery based exploration story game. It involves dark, brooding themes of loneliness, piece by piece information and mortal philosphy on existence. Set aside an hour and a half to complete. PERFORMANCE: The game engine is relatively simple and will not require much to run; I played this on a terrible, terrible notebook without any issues. NOTES ON GAME PLAY: It can sometimes be difficult to find the next piece of the story, or at the least, tedious to back track. I do also proclaim the ""exit"" button on the menu as my rival. Several months ago I got this game and halfway through I paused the game, and when I returned I assumed that the ""exit"" button would unpause the game; it will instead exit the game without any double checking. On my replay and on my own accord, I absent mindedly did it again. Fool me once, right? So yeah... do not click exit unless you want to close the game... it can be... *sour taste* frustrating... especially because... There is no save option. This game must be completed in one sitting. This is neither a pro or a con to me. CONCLUSION: I recommend this game as both a game, a short visual story and an inspiration/dread to my thoughts of being a mortal man. Enjoy.","['Walking Simulator', 'Adventure', 'Psychological Horror', 'Exploration', 'Story Rich', 'First-Person', 'Indie', 'Horror', 'Short']",Mostly Positive,David Szymanski,4,3,4,2,positivo
rjmacready,76561198048974498,The Moon Sliver,"I'll start out by saying that while I AM giving this game a recommendation, I most certainly am NOT recommending it to anyone for the full retail price of two dollars and ninety-nine cents.  Even those of us who don't expect ten hours of gameplay per dollar we spend should probably wait for a sale, 'cause it's DANG SHORT.  I'm also not going to recommend it to anyone who doesn't enjoy READING, nor anyone who expects anything vaguely resembling ACTION.  Still here?  Okay, let's examine it a little closer then...  Despite being one of those people who very much believes in the notion of ""experimental storytelling"" in video games, I must say this one's pushing its luck a little.  A short story format may well have served the tale being told here better than a ""game""; which, even by my own broad definition, this only BARELY qualifies as.  Gone Home, on the other hand, NEEDED to be a game, and would have made an appallingly♥♥♥♥♥♥""read"" in and of itself...so why was this so? Well, simply put, it was a game where you had to explore a defined area, discover clues as to what had happened there, and gradually piece the story together.  The Moon Sliver operates on much the same principle, EXCEPT...the area you explore is much, much smaller, and the vast majority of the ""clues"" are given not so much as real-time items which you can find and interpret the meaning of as you see fit, but rather as literary passages which represent memories of, I assume, the character you are playing.  In that sense, perhaps, it's also quite a bit like Dear Esther, but again...even THAT game was longer and arguably more substantial in the information which it ultimately delivers.  Which isn't to say that The Moon Sliver doesn't create an atmosphere, or is completely lacking in game ""mechanics"".  Quite to the contrary, it actually has one ""mechanic"" which was so prominent as to be almost obtrusive and annoying at times...which is to say, that while trying to keep one's flashlight fully charged was an essential part of the SUSPENSE of a game like Outlast, it's mostly just an irritation in this game. Especially when your primary light source starts flickering in the middle of a climactic, night-time wind-storm, amidst which you have to find your way to a specific location with ♥♥♥♥-all visibility. In my opinion, the game would have been plenty atmospheric enough with a fully-functional flashlight throughout...but then again, after all the flak which the second Amnesia caught on account of its severely stripped-down ""mechanics"", one can't really blame designers for playing it safe and throwing one or two (however unnecessary) ""gameplay"" elements in there, especially at this juncture in time.  The Moon Sliver definitely tells an interesting story - though one which, I imagine, will only ""blow the mind"" of people who haven't read a great many horror and/or science-fiction short stories - and it tells its tale well enough, within the confines of how it chooses to do so.  It's only the chosen medium and the price-tag which I'm really querying, not the talent involved.  I definitely look forward to future games from the chap who made this, I just hope that he'll get more ambitious and more realistic about market values from here on in.  Imagine how many more people would give this a shot - and with a little luck, be pleasantly surprised! - if it were being given away for free or for something as negligible as, say, zero dollars and ninety-nine cents. Wait for a sale, and enter with an open mind, and you just may get that small but pleasant surprise after all, in spite of all the reservations I've just expressed.  A very nice ""demo"", but I'm still reluctant to qualify it as a fully-fledged product/game.  Verdict: 7.5/10. UPDATE: Since originally posting this review, the RRP of this product has dropped to $1.99 USD, a much more reasonable asking price. A definite recommendation to the curious.","['Walking Simulator', 'Adventure', 'Psychological Horror', 'Exploration', 'Story Rich', 'First-Person', 'Indie', 'Horror', 'Short']",Mostly Positive,David Szymanski,4,2,4,1,neutral
DinXy,76561198018913179,The Moon Sliver,"A pretty nice little game. It uses unity engine, so the graphics are nothing special, but the music and the story make up for everything else. The way, you discover the story is : you click on an item and text appears on the screen, as you move away - the text fades out, but there was a spot where I had a couple of texts appear on the same spot and they become difficult to read. Other than that, everything was smooth and I will definitely remember the experience, as chills are still running down my spine - the price tag is worth it and I can recommend! You can also check my let's play, if your not afraid of spoilers :","['Walking Simulator', 'Adventure', 'Psychological Horror', 'Exploration', 'Story Rich', 'First-Person', 'Indie', 'Horror', 'Short']",Mostly Positive,David Szymanski,4,4,5,2,positivo
Antorius,76561198065602785,The Moon Sliver,"I enjoyed this game, and I recommend it especially if you have already played The Music Machine, for which this is something of a prequel (The Music Machine references The Moon Sliver). I think an appreciation of the story-telling of the developer -- gained through the bit longer and aesthetically MUCH more appealing Music Machine-- is necessary to suspend one's possible distaste for the shorter and more simply presented Moon Sliver and really dig in to piecing the story together. Once you do, you may find yourself -- as I did -- becoming progressively more horrified.","['Walking Simulator', 'Adventure', 'Psychological Horror', 'Exploration', 'Story Rich', 'First-Person', 'Indie', 'Horror', 'Short']",Mostly Positive,David Szymanski,4,3,4,2,positivo
Paperinukke,76561198044258778,The Moon Sliver,"If you like sentimental atmospheres, rough graphics, moments that make your heart race and good stories, The Moon Sliver is for you.","['Walking Simulator', 'Adventure', 'Psychological Horror', 'Exploration', 'Story Rich', 'First-Person', 'Indie', 'Horror', 'Short']",Mostly Positive,David Szymanski,4,3,5,2,positivo
Dragonofyre,76561198035915039,The Moon Sliver,I looked behind me at least 57 times. 10/10 goosebump simulator 2014.,"['Walking Simulator', 'Adventure', 'Psychological Horror', 'Exploration', 'Story Rich', 'First-Person', 'Indie', 'Horror', 'Short']",Mostly Positive,David Szymanski,4,4,5,2,positivo
Sheepscuit,76561198031273221,The Moon Sliver,"Simple and basic graphically. Short plot with basic puzzles. Yet somehow it seems endearing and the music/ambient sounds give a suspenseful atmosphere. Just takes 30 minutes or so to get through the game but is worth the experience. However, I wouldn't pay much for the game; as such I got this in a bundle and I'm very happy with its contribution.","['Walking Simulator', 'Adventure', 'Psychological Horror', 'Exploration', 'Story Rich', 'First-Person', 'Indie', 'Horror', 'Short']",Mostly Positive,David Szymanski,3,3,4,2,positivo
Trashware,76561197979487649,The Moon Sliver,"This is one of those games to play if you're in need of a short, quick burst of walking simulator style story telling. It is nicely written even though the story itself is not very deep or surprising at all. Personally I have a soft spot for the kind of primitive 3d graphics used and the lighting was pretty so graphically it was up my ally. There was a great sense of desolation and bleakness that added up to the story, accompanied by fitting alhtough occasionally too obviously looping sound and music bites. The Moon Silver is a Short, atmospheric, horror tale with little interaction but walking around and I enjoyed it exactly because of that. And hey, it's cheap so that's nice.","['Walking Simulator', 'Adventure', 'Psychological Horror', 'Exploration', 'Story Rich', 'First-Person', 'Indie', 'Horror', 'Short']",Mostly Positive,David Szymanski,3,2,4,1,positivo
