username,user_id,title,text,tags,sentiment,developer,narrativa,jugabilidad,atmósfera,dificultad,tono_emocional
Trashware,76561197979487649,Middle-earth™: Shadow of Mordor™,"A couple of thoughts after just beating the main game. + The meat of this game lies within the nemesis system. It brings a lot of personality to the orcs on board, especially in the first couple of hours of playing. Orcs tend to remember quite a bit about past battles and taunt you with it on your return. Also there's a ranking system in which orcs get more powerful and gain more treats to take heed of. You might (depending on your skills and choices) find yourself fighting one orc for half of the game, making the term nemesis a real thing. + Graphically this game looks awesome, great atmosphere completely in tune with the movies. Animations are done really well and I just love the orc design in general. +- Gameplay is good most of the time with fluid movements and fighting system. But it is not without its flaws. Sometimes you keep on grabbing the wrong orc by the throat even when you're aiming a different direction, sometimes you just keep clinging to walls in a very unnatural way, climbing down or jumping down sometimes won't work as intended. These situations don't nearly happen often enough to make the game unbearable though, combat and navigating feels quite satisfying most of the time. +- The story feels scattered and not quite as solid as it would be if the game would be more linear. It is literally all over the place from time to time, and there isn't enough to it to make it feel coherent. + The voice acting is great though. + Also it is fun to stumble upon some more LOTR lore, with a little suspension of disbelief it's still entertaining and not too far fetched (just a little in the main story, especially towards the end). +- I'm not quite sure why Gollum was there at all, except for fanserving purpose. But again, he was voiced and animated perfectly so it was still convincing enough for me anyway. +- I was kinda hoping for at least one more map, but at least there are two that do look great. Udûn is my favorite by far, that is how I remember Mordor looking. The other map is a bit too generic and lush for my taste, although that is actually part of the lore so it does make some sort of sense. Both maps seem on the small side seeing you just can run from one end to the other within five minutes, but at least that makes it easier to finish I guess. And hey, plenty of collectibles and you can easily pick them up while on a mission if you want to. - The game difficulty could be a bit harder though, or maybe a lot. At least optionally.  Towards the end everything becomes a bit repetitive and without challenge. - The last few missions are quite disappointing as well both in terms of difficulty and -to a smaller degree- story. All in all there's a lot of fun to have in Shadow of Mordor and I would fully recommend it. I hope Shadow of War will be more coherent and challenging, although I've read the DLC might provide some challenge as well. I'll try that later though, I need a short break from all the button mashing for a couple of days right now ;)","['Action', 'Open World', 'Adventure', 'Fantasy', 'Third Person', 'Stealth', 'Singleplayer', 'RPG', 'Action RPG', 'Assassin', 'Gore', 'Hack and Slash', 'Parkour', 'Atmospheric', 'Story Rich', 'Magic', 'Lore-Rich', 'Dark Fantasy', 'Based On A Novel', 'Sandbox']",Very Positive,"Monolith Productions,Feral Interactive (Mac),Feral Interactive (Linux)",3,4,5,2,positivo
NeoMorph,76561198022948050,Middle-earth™: Shadow of Mordor™,"FUN FUN FUN FUN, then boring all the rest of the way, like arkham batman with a sword and he kill ppl instead of knocking them out. I would buy it becuase however short the fun is, its REAlly fun","['Action', 'Open World', 'Adventure', 'Fantasy', 'Third Person', 'Stealth', 'Singleplayer', 'RPG', 'Action RPG', 'Assassin', 'Gore', 'Hack and Slash', 'Parkour', 'Atmospheric', 'Story Rich', 'Magic', 'Lore-Rich', 'Dark Fantasy', 'Based On A Novel', 'Sandbox']",Very Positive,"Monolith Productions,Feral Interactive (Mac),Feral Interactive (Linux)",3,4,4,2,positivo
.::THE MATRIX::.,76561197987519510,Middle-earth™: Shadow of Mordor™,"This is a must have game, hours of gameplay, and good graphics, fun to play !","['Action', 'Open World', 'Adventure', 'Fantasy', 'Third Person', 'Stealth', 'Singleplayer', 'RPG', 'Action RPG', 'Assassin', 'Gore', 'Hack and Slash', 'Parkour', 'Atmospheric', 'Story Rich', 'Magic', 'Lore-Rich', 'Dark Fantasy', 'Based On A Novel', 'Sandbox']",Very Positive,"Monolith Productions,Feral Interactive (Mac),Feral Interactive (Linux)",4,5,4,3,positivo
Roki,76561198101603478,Middle-earth™: Shadow of Mordor™,"The best thing about the game is the combat. I't not overly complex but it works and it's so fluid it's fun to watch. The stealth mixes things up a bit sometimes which is great. Also there's a good story, a lot of content and colectables . 91%","['Action', 'Open World', 'Adventure', 'Fantasy', 'Third Person', 'Stealth', 'Singleplayer', 'RPG', 'Action RPG', 'Assassin', 'Gore', 'Hack and Slash', 'Parkour', 'Atmospheric', 'Story Rich', 'Magic', 'Lore-Rich', 'Dark Fantasy', 'Based On A Novel', 'Sandbox']",Very Positive,"Monolith Productions,Feral Interactive (Mac),Feral Interactive (Linux)",4,5,4,3,positivo
Threepac,76561197992360630,Middle-earth™: Shadow of Mordor™,Great game.,"['Action', 'Open World', 'Adventure', 'Fantasy', 'Third Person', 'Stealth', 'Singleplayer', 'RPG', 'Action RPG', 'Assassin', 'Gore', 'Hack and Slash', 'Parkour', 'Atmospheric', 'Story Rich', 'Magic', 'Lore-Rich', 'Dark Fantasy', 'Based On A Novel', 'Sandbox']",Very Positive,"Monolith Productions,Feral Interactive (Mac),Feral Interactive (Linux)",4,5,5,3,positivo
Paddu,76561198078765230,Middle-earth™: Shadow of Mordor™,is nice,"['Action', 'Open World', 'Adventure', 'Fantasy', 'Third Person', 'Stealth', 'Singleplayer', 'RPG', 'Action RPG', 'Assassin', 'Gore', 'Hack and Slash', 'Parkour', 'Atmospheric', 'Story Rich', 'Magic', 'Lore-Rich', 'Dark Fantasy', 'Based On A Novel', 'Sandbox']",Very Positive,"Monolith Productions,Feral Interactive (Mac),Feral Interactive (Linux)",3,4,4,3,positivo
Gendor Skraivok,76561198011665771,Middle-earth™: Shadow of Mordor™,"Game is good but mind explaining to me how you are gonna defeat someone who's invulnerable to stealth, range, stun locking un-blockable attacks and resist every fourth attack.","['Action', 'Open World', 'Adventure', 'Fantasy', 'Third Person', 'Stealth', 'Singleplayer', 'RPG', 'Action RPG', 'Assassin', 'Gore', 'Hack and Slash', 'Parkour', 'Atmospheric', 'Story Rich', 'Magic', 'Lore-Rich', 'Dark Fantasy', 'Based On A Novel', 'Sandbox']",Very Positive,"Monolith Productions,Feral Interactive (Mac),Feral Interactive (Linux)",3,3,4,4,negativo
Ardis,76561198045758384,Middle-earth™: Shadow of Mordor™,"Up front, my playtime represents a comprehensive playthrough of the base game to include all collectibles, side missions, and several achievements. If you're a fan of games like Batman (the combat is very familiar), God of War, Mark of Kri, and Conan, but want a dash of the ""open world"" then you will feel right at home here. The combat is great, the controls are smooth and intuitive, and the way you can shape some of the military hierarchy within the ranks of Uruk armies is a refreshing system that makes the game interesting and unique to its genre. The duality of the main character(s) is implemented very well and the game makes good use of the strengths they have to offer. The period in which SoM is set is also pretty interesting and fans of LotR will be absolutely giddy inside playing this. The collectibles and dialogue all made me want to watch the movies and read the books again. The minor downsides were that some of the missions did feel repetitive after awhile, primarily the outcasts ones where you are rescuing slaves over and over. There are 24 of those if I recall correctly and they never really change. They are optional though. Combat is a blast and you are given a variety of tools with which to dispatch your foes. This was great fun but also meant the game was never really much of a challenge and by the end I felt absolutely godlike. I spent somewhere around $7 on this game while it was on sale and received the GotY edition. I highly recommend it even at full price and am looking forward to playing through the additional content.","['Action', 'Open World', 'Adventure', 'Fantasy', 'Third Person', 'Stealth', 'Singleplayer', 'RPG', 'Action RPG', 'Assassin', 'Gore', 'Hack and Slash', 'Parkour', 'Atmospheric', 'Story Rich', 'Magic', 'Lore-Rich', 'Dark Fantasy', 'Based On A Novel', 'Sandbox']",Very Positive,"Monolith Productions,Feral Interactive (Mac),Feral Interactive (Linux)",4,5,4,2,positivo
danny_maland,76561197988077759,Middle-earth™: Shadow of Mordor™,"I really don't play much in the ""brawler"" category, but from the little I've seen, Monolith really did their homework. ""Shadow Of Mordor"" only has one gameplay loop, when it really comes down to it. Sure, there's a stealth ""subloop"" that you can get into, but in the end, the game always comes down to how you enter and exit a chain of dispatching orcs in up-close combat. Monolith got that experience extremely ""right,"" mostly by way of their skill progression system. There's an almost magical balance between the combat remaining an interesting challenge while Talion grows more and more powerful. In my playthrough, things got noticeably easier as time went on, but it never got too easy or too rote. There are a lot of skills that you can weave together for maximum benefit, and ""Shadow"" is pretty decent at rewarding mastery, at least in the immediate sense. The downside of all that Talion can do is that the game sometimes struggles to figure out what you want. It never became a scourge, but there were still plenty of instances where Talion wouldn't, say, climb up a wall, because the combat system was telling him that ""spacebar"" meant ""dodge"" when I wanted ""climb."" In that same vein, I was sometimes a little perplexed about what Talion would and would not tackle vertically - some walls that clearly looked like giant collections of handholds actually weren't, apparently. (This is a bit jarring when your super-rad wraith-ranger can climb almost anything, but then arbitrarily says, ""Nope, can't climb that thing which looks like it would incredibly easy. Sorry."") The ""Nemesis"" System is an interesting idea that does play well, but it has a couple of problems. First, as it turns out, there's only so much actual meat on that bone. At first, the constantly self-replacing cast of procedurally-generated baddies is pretty nifty. Later on, though, you start to shrug your shoulders as you realize that what you're doing isn't having any real, permanent effect on what's going on. At some point, when you're highly (or totally) upgraded and have all the runes you want, hammering away at one more Uruk Captain doesn't mean anything. Second, the Nemesis System has a noticeable penchant for cooking up opponents who are actually tougher than high-level story encounters. There were some regular captains that emerged that caused me far more trouble than Sauron's Black Captains, the supposed terrors of Mordor. (They're actually rather a gang of pushovers, if you ask me.) Once you've faced a high-damage, quick-firing, ranged-attack orc who's immune to all regular damage, a big bad who hits hard (but slowly) and is taken down by moves that are easy to pull off is a bit of a let-down. ...and the ending isn't much of a payoff. I don't want to spoil it, but I will say it's abrupt and offers almost nothing in the way of closure. It's sort of reminiscent of ""Mass Effect 3,"" where you get this nagging feeling that the developer ran out of money, time, and ideas when it was time to actually plonk a climactic capstone on their experience. Story-wise, Monolith does a nice job with giving you collectibles that trickle juicy bits of lore down to you, but I found myself wishing that the various characters would have gotten more ""airtime"" instead. So, do play ""Shadow Of Mordor."" Just play it for the mid-game instead of the end.","['Action', 'Open World', 'Adventure', 'Fantasy', 'Third Person', 'Stealth', 'Singleplayer', 'RPG', 'Action RPG', 'Assassin', 'Gore', 'Hack and Slash', 'Parkour', 'Atmospheric', 'Story Rich', 'Magic', 'Lore-Rich', 'Dark Fantasy', 'Based On A Novel', 'Sandbox']",Very Positive,"Monolith Productions,Feral Interactive (Mac),Feral Interactive (Linux)",3,4,4,3,positivo
theCollector™,76561198071098825,Middle-earth™: Shadow of Mordor™,"From far, yet my best game series so far (as the sequel is coming out soon), nemesys system it's just an insane feature they worked on and pretty well, mainly with ''War'' (Shadow of War). Graphics are amazing, campaign is story-rich with a lot of challenges (with the story and off-story like alternate stories and side quest), speeches and models are just great, uniqueness is abundant since from skills, the way you play, to enemies you encounter and events like raids/trials/executions/duels and how you get to it's objectives. Totally recommend purchasing Shadow of Mordor and pre-purchasing Shadow of War. 10/10 -DK","['Action', 'Open World', 'Adventure', 'Fantasy', 'Third Person', 'Stealth', 'Singleplayer', 'RPG', 'Action RPG', 'Assassin', 'Gore', 'Hack and Slash', 'Parkour', 'Atmospheric', 'Story Rich', 'Magic', 'Lore-Rich', 'Dark Fantasy', 'Based On A Novel', 'Sandbox']",Very Positive,"Monolith Productions,Feral Interactive (Mac),Feral Interactive (Linux)",5,5,5,4,positivo
