username,user_id,title,text,tags,sentiment,developer,narrativa,jugabilidad,atmósfera,dificultad,tono_emocional
Invictus,76561198032539511,Killing Floor,"You Rip and Tear, even though you aren't DOOM guy. But there is most likely a mod for that. Flare Revolver to a Fleshpounds face for the kill/10","['FPS', 'Zombies', 'Co-op', 'Survival', 'Action', 'Multiplayer', 'Horror', 'Online Co-Op', 'Shooter', 'Gore', 'Team-Based', 'First-Person', 'Moddable', 'Survival Horror', 'Great Soundtrack', 'Singleplayer', 'Class-Based', 'Difficult', 'Comedy', 'Adventure']",Overwhelmingly Positive,Tripwire Interactive,2,5,4,4,positivo
Black Vegan Jew Tranny,76561198027873867,Killing Floor,"This game is great; I kinda like it better than the sequel! P.S. I paid $, I didn't get the Humble Bundle promotion thingy.","['FPS', 'Zombies', 'Co-op', 'Survival', 'Action', 'Multiplayer', 'Horror', 'Online Co-Op', 'Shooter', 'Gore', 'Team-Based', 'First-Person', 'Moddable', 'Survival Horror', 'Great Soundtrack', 'Singleplayer', 'Class-Based', 'Difficult', 'Comedy', 'Adventure']",Overwhelmingly Positive,Tripwire Interactive,2,5,4,3,positivo
CHITOWN,76561198262233191,Killing Floor,GREAT GAME AND FUN TOO.,"['FPS', 'Zombies', 'Co-op', 'Survival', 'Action', 'Multiplayer', 'Horror', 'Online Co-Op', 'Shooter', 'Gore', 'Team-Based', 'First-Person', 'Moddable', 'Survival Horror', 'Great Soundtrack', 'Singleplayer', 'Class-Based', 'Difficult', 'Comedy', 'Adventure']",Overwhelmingly Positive,Tripwire Interactive,1,5,4,3,positivo
Eap123,76561198067397190,Killing Floor,The zombies remind me of Apple iOS people. The players are Android people shooting iOS zombies so they die and go back to Tim Cook's scrotum.,"['FPS', 'Zombies', 'Co-op', 'Survival', 'Action', 'Multiplayer', 'Horror', 'Online Co-Op', 'Shooter', 'Gore', 'Team-Based', 'First-Person', 'Moddable', 'Survival Horror', 'Great Soundtrack', 'Singleplayer', 'Class-Based', 'Difficult', 'Comedy', 'Adventure']",Overwhelmingly Positive,Tripwire Interactive,2,4,3,4,neutral
<VDC> DEATH HULK,76561198074934063,Killing Floor,"Buy this, now.","['FPS', 'Zombies', 'Co-op', 'Survival', 'Action', 'Multiplayer', 'Horror', 'Online Co-Op', 'Shooter', 'Gore', 'Team-Based', 'First-Person', 'Moddable', 'Survival Horror', 'Great Soundtrack', 'Singleplayer', 'Class-Based', 'Difficult', 'Comedy', 'Adventure']",Overwhelmingly Positive,Tripwire Interactive,1,5,4,3,positivo
oliwier.guliwer PL,76561198093487591,Killing Floor,"kiling floor is a hord coop game . a very good coop hord game. ther are 7 classes and 8 zed tipes not counting the boss. in betwent rounds you have a time to go to the shop and buy weapons , ammo and armor all classes have a infinit medkit thats on cooldown . its beter to heal your teammates then yourself . when you heal your teammates you waste half of your medkit and heal the same amount of health. the medic heals for more health and and the medkit regenarates faster and medic guns can heal your teammates at range evry class has its own perpus and use. the medic heals . the demo blows up grups of zeds. the sharpshoter killes zeds at range and takes care of specials . komando kills the stalkers and killes the normal zeds . the support uses the shotgun and takes care of specials up close . firebug area dinyles with flamethrowers and burnes the zeds . this is a grate game. if your pc can't handel kf2 then this is the game for you","['FPS', 'Zombies', 'Co-op', 'Survival', 'Action', 'Multiplayer', 'Horror', 'Online Co-Op', 'Shooter', 'Gore', 'Team-Based', 'First-Person', 'Moddable', 'Survival Horror', 'Great Soundtrack', 'Singleplayer', 'Class-Based', 'Difficult', 'Comedy', 'Adventure']",Overwhelmingly Positive,Tripwire Interactive,2,5,4,4,positivo
Übermensch995,76561198055684649,Killing Floor,Upgraded l4d2,"['FPS', 'Zombies', 'Co-op', 'Survival', 'Action', 'Multiplayer', 'Horror', 'Online Co-Op', 'Shooter', 'Gore', 'Team-Based', 'First-Person', 'Moddable', 'Survival Horror', 'Great Soundtrack', 'Singleplayer', 'Class-Based', 'Difficult', 'Comedy', 'Adventure']",Overwhelmingly Positive,Tripwire Interactive,2,4,4,3,positivo
viewsonicg,76561198041879613,Killing Floor,"Heavy music, lots of zombies, and nothing to do but kill things. If you like killing and not thinking so much, Murder-Death-Kill your way through hordes. Do it with friends or dying is boring.","['FPS', 'Zombies', 'Co-op', 'Survival', 'Action', 'Multiplayer', 'Horror', 'Online Co-Op', 'Shooter', 'Gore', 'Team-Based', 'First-Person', 'Moddable', 'Survival Horror', 'Great Soundtrack', 'Singleplayer', 'Class-Based', 'Difficult', 'Comedy', 'Adventure']",Overwhelmingly Positive,Tripwire Interactive,1,4,4,3,positivo
Please shoot me in the head,76561198068247033,Killing Floor,"Steam doesn't lie and it records that, so far, I've played a total of eight minutes of Killing Floor. However, those eight minutes were arguably the best eight minutes of my life.","['FPS', 'Zombies', 'Co-op', 'Survival', 'Action', 'Multiplayer', 'Horror', 'Online Co-Op', 'Shooter', 'Gore', 'Team-Based', 'First-Person', 'Moddable', 'Survival Horror', 'Great Soundtrack', 'Singleplayer', 'Class-Based', 'Difficult', 'Comedy', 'Adventure']",Overwhelmingly Positive,Tripwire Interactive,1,5,5,3,positivo
DickWeed,76561198049892475,Killing Floor,gg,"['FPS', 'Zombies', 'Co-op', 'Survival', 'Action', 'Multiplayer', 'Horror', 'Online Co-Op', 'Shooter', 'Gore', 'Team-Based', 'First-Person', 'Moddable', 'Survival Horror', 'Great Soundtrack', 'Singleplayer', 'Class-Based', 'Difficult', 'Comedy', 'Adventure']",Overwhelmingly Positive,Tripwire Interactive,1,4,4,3,positivo
