username,user_id,title,text,tags,sentiment,developer,narrativa,jugabilidad,atmósfera,dificultad,tono_emocional
Cristovelli,76561197989683828,Cogs,"Now here is a brain game I can wholeheartedly recommend. If you enjoy brain-twisting mechanical puzzles, Cogs will keep you entertained for a good while. The challenges in this game generally involve sliding around components on multi-sided contraptions to activate the mechanism for the solution. The puzzles are varied and clever, and pleasing to solve, involving differential gears, steam pipes and other parts to create functioning clockworks, musicboxes, helicopters and more. Additional points are awarded for efficiency and speed which can be used to unlock more levels, so if you get stuck on one, you can still skip ahead and choose from others. There are a few levels my son and I enjoy revisiting almost endlessly because the interface is simple and clean, and the solutions are satisfying to perform. The graphics are pleasant and well-designed, with some slick menus, and expandable content in the form of periodic bonus levels. Great buy, especially if on sale!","['Puzzle', 'Indie', 'Casual', 'Singleplayer', 'Steampunk', 'Family Friendly', 'Difficult']",Very Positive,Lazy 8 Studios,2,5,4,4,positivo
TamaSaga,76561198028325917,Cogs,"A reviewer commented how he hated timed puzzles.  I completely agree.  Doubly so when the ""uber-smooth"" animation removes a chunk of your time with each move.  You might have 18 seconds to complete a puzzle, but when it takes 1 second for each block to slide into place before you can move the next one, you end up with 10. With no option to turn off the animation, it ends up being kind of stupid how success or failure depends on how well you can time your mouse clicks.  Not your puzzle solving abilites.","['Puzzle', 'Indie', 'Casual', 'Singleplayer', 'Steampunk', 'Family Friendly', 'Difficult']",Very Positive,Lazy 8 Studios,1,2,3,4,negativo
El Mythical 23 k.s.c.,76561197993248610,Cogs,this game makes my brain hurt,"['Puzzle', 'Indie', 'Casual', 'Singleplayer', 'Steampunk', 'Family Friendly', 'Difficult']",Very Positive,Lazy 8 Studios,1,4,3,4,negativo
Gent! Deus,76561197972282476,Cogs,"If you can get it for under $10 then get it. It's a good game, with some well thought out puzzles.","['Puzzle', 'Indie', 'Casual', 'Singleplayer', 'Steampunk', 'Family Friendly', 'Difficult']",Very Positive,Lazy 8 Studios,2,4,3,4,positivo
desolation0,76561198042118407,Cogs,"Fun puzzle game that has you thinking in 2+D with a steampunk aesthetic. It's surprisingly fun for just being a scaled up version of the puzzle type with a rearranged picture with one tile missing and you have to move the rest around to make the picture compete again. The puzzles are fairly simple, but if you want more of a challenge you can push for getting them within time limits and move limits. Honestly one of the few puzzle games I've fully completed, thanks to being able to fill that quick pick up and play niche without breaking the brain. 4/5","['Puzzle', 'Indie', 'Casual', 'Singleplayer', 'Steampunk', 'Family Friendly', 'Difficult']",Very Positive,Lazy 8 Studios,2,4,4,3,positivo
Xetelian,76561197977632063,Cogs,Very fun and hard,"['Puzzle', 'Indie', 'Casual', 'Singleplayer', 'Steampunk', 'Family Friendly', 'Difficult']",Very Positive,Lazy 8 Studios,2,4,3,4,positivo
Major_TORMENT,76561197994947653,Cogs,"Great casual game that I've had installed for years, and I occasionally dip into when I'm bored of other games. Simple, fun, challenging puzzler that probably anyone can pick up and enjoy within seconds. Well worth it.","['Puzzle', 'Indie', 'Casual', 'Singleplayer', 'Steampunk', 'Family Friendly', 'Difficult']",Very Positive,Lazy 8 Studios,1,5,4,3,positivo
Happiness Officer,76561198004419232,Cogs,"Anyone remember those old sliding-tile puzzles? If you enjoyed them, then I think you'd really get a kick out of this lovely little game Bear in mind, they're ALL sliding-tile puzzles. The variety among them is delightfully done though. It's not just a case of constructing bigger pictures... Instead you're there working with an assortment of different pipes and gears... Sometimes on a single 2D face, other times working around a whole 3D block. It's an elegantly crafted Zen game and the animations and music are spot on. It's a casual, yet challenging, piece to wind down with My only gripe - I hate the timer. Unless you play the special 10-move-limit mode (which you need to unlock), you always have it ticking away... letting you know that you're too slow to win the Gold stars. To me, this is a frustrating addition. It adds an unnecessary time-based element of tension that doesn't suit such a slow-placed game. Don't get me wrong, it's not like your level terminates if you're too slow... but it's enough to mar the relaxing enjoyment of it slightly Add a 'Zen Mode' (basically 'Inventor Mode' without Time/Move challenges) and we're onto a winner. Other than that, it's a charming little piece","['Puzzle', 'Indie', 'Casual', 'Singleplayer', 'Steampunk', 'Family Friendly', 'Difficult']",Very Positive,Lazy 8 Studios,2,4,4,3,positivo
btdslayer,76561198012682302,Cogs,An astheticaly pleasing and surprisingly challenging puzzle game.,"['Puzzle', 'Indie', 'Casual', 'Singleplayer', 'Steampunk', 'Family Friendly', 'Difficult']",Very Positive,Lazy 8 Studios,1,4,4,4,positivo
aliasup,76561198017035548,Cogs,"Easily one of the best puzzle games I've played. The fact that it rewards speed and memorization bugs some conceptual part of me that likes slow things, but i enjoy moving the things around quickly to get the quickest and shortest solution. One of the main things i like about it is the sense of whimsy that's imbued in many of the puzzles, like a jack-in the box, and balloons that fly out of the level area when you're done.","['Puzzle', 'Indie', 'Casual', 'Singleplayer', 'Steampunk', 'Family Friendly', 'Difficult']",Very Positive,Lazy 8 Studios,2,5,4,3,positivo
