username,hours,user_id,title,text,tags,sentiment,developer,narrativa,jugabilidad,atmósfera,dificultad,tono_emocional
Epicousity,12.8,76561198048299521,mx vs. atv reflex,"This game looks and controls amazingly. This is definitely the game to get if you're interested in ATV/Offroad racing. My only real complaint is that the game gets super grindy at the end, but overall it is still a great buy!","['Racing', 'Offroad', 'Sports', 'Multiplayer', 'Singleplayer', 'Open World', 'Action', 'Simulation', 'Moddable']",Very Positive,"Double Helix Games,Rainbow Studios,THQ Nordic",2,4,4,3,positivo
Predator,0.9,76561198030685674,mx vs. atv reflex,made the audi logo in the mud. 11/10,"['Racing', 'Offroad', 'Sports', 'Multiplayer', 'Singleplayer', 'Open World', 'Action', 'Simulation', 'Moddable']",Very Positive,"Double Helix Games,Rainbow Studios,THQ Nordic",2,5,4,3,positivo
Rcdogbone,0.4,76561198132256575,mx vs. atv reflex,this game sucks. dont buy this.,"['Racing', 'Offroad', 'Sports', 'Multiplayer', 'Singleplayer', 'Open World', 'Action', 'Simulation', 'Moddable']",Very Positive,"Double Helix Games,Rainbow Studios,THQ Nordic",1,1,1,2,negativo
(^-^)Simon Larsen(^-^),167.1,76561198115303518,mx vs. atv reflex,it is a fun game,"['Racing', 'Offroad', 'Sports', 'Multiplayer', 'Singleplayer', 'Open World', 'Action', 'Simulation', 'Moddable']",Very Positive,"Double Helix Games,Rainbow Studios,THQ Nordic",1,4,3,2,positivo
Dalle F,16.8,76561198128204042,mx vs. atv reflex,A very great game. The most realistic race game EVER! If you have money for it then buy it :),"['Racing', 'Offroad', 'Sports', 'Multiplayer', 'Singleplayer', 'Open World', 'Action', 'Simulation', 'Moddable']",Very Positive,"Double Helix Games,Rainbow Studios,THQ Nordic",2,5,4,3,positivo
tashaswindow,34.6,76561198315152004,mx vs. atv reflex,my game keeps crashing and i cant play it,"['Racing', 'Offroad', 'Sports', 'Multiplayer', 'Singleplayer', 'Open World', 'Action', 'Simulation', 'Moddable']",Very Positive,"Double Helix Games,Rainbow Studios,THQ Nordic",1,1,1,2,negativo
Mschroeder263,349.5,76561198098735454,mx vs. atv reflex,ok this games for some reason has the screen moved a little to the left and ive been serching the options and resolution settings how can i change this,"['Racing', 'Offroad', 'Sports', 'Multiplayer', 'Singleplayer', 'Open World', 'Action', 'Simulation', 'Moddable']",Very Positive,"Double Helix Games,Rainbow Studios,THQ Nordic",1,2,2,2,negativo
GatlingMoto,155.2,76561198079391936,mx vs. atv reflex,I Love this game sooooo good,"['Racing', 'Offroad', 'Sports', 'Multiplayer', 'Singleplayer', 'Open World', 'Action', 'Simulation', 'Moddable']",Very Positive,"Double Helix Games,Rainbow Studios,THQ Nordic",2,5,4,3,positivo
D()()T 439,48.7,76561198119366272,mx vs. atv reflex,"Pros: - Nice realistic gameplay - pretty good graphics - controls feel good (on a controller) - there aren´t many games like this (dirt-racing in atv& mtx) Cons: - expects a decent computer, even though the overall quality is not that good - keyboard controls utterly suck in this game - trick system does not work or is not included - the controls often feel crappy in fractions of certain tracks It`s  safe to buy this game while on sale and you will probably have fun for a couple of hours, you need at least 1gbVram+ (with a big +) and a gamepad to have fun with this game","['Racing', 'Offroad', 'Sports', 'Multiplayer', 'Singleplayer', 'Open World', 'Action', 'Simulation', 'Moddable']",Very Positive,"Double Helix Games,Rainbow Studios,THQ Nordic",2,3,3,2,positivo
JordNord,11.5,76561198097311952,mx vs. atv reflex,"A friend and I paid full price for this game, which we both agree was steep in regards to the game itself. However, we were able to join eachother for races/freeride no problemo. If our money goes towards continued multiplayer connectivity, we shall consider it worthy of the $22(CDN) price tag. + The amount of control you have over your bike is on a whole 'nother level. + Throughout a race, the track gets more and more beat up by the bike tires. (Terrain deformation) + Great customization + Low system requirements + Good graphics (on high) with emphasis on vehicle detail.","['Racing', 'Offroad', 'Sports', 'Multiplayer', 'Singleplayer', 'Open World', 'Action', 'Simulation', 'Moddable']",Very Positive,"Double Helix Games,Rainbow Studios,THQ Nordic",2,5,4,3,positivo
jeremykoo,46.3,76561198029841351,mx vs. atv reflex,timeless game,"['Racing', 'Offroad', 'Sports', 'Multiplayer', 'Singleplayer', 'Open World', 'Action', 'Simulation', 'Moddable']",Very Positive,"Double Helix Games,Rainbow Studios,THQ Nordic",2,4,3,2,positivo
JR0CK3R,2.5,76561198012557845,mx vs. atv reflex,Awesome game. A lot of fun but needs full controller support.,"['Racing', 'Offroad', 'Sports', 'Multiplayer', 'Singleplayer', 'Open World', 'Action', 'Simulation', 'Moddable']",Very Positive,"Double Helix Games,Rainbow Studios,THQ Nordic",2,4,4,3,positivo
Stryder,0.5,76561198056618864,mx vs. atv reflex,"""Finally, a sports game that helps me masturbate""","['Racing', 'Offroad', 'Sports', 'Multiplayer', 'Singleplayer', 'Open World', 'Action', 'Simulation', 'Moddable']",Very Positive,"Double Helix Games,Rainbow Studios,THQ Nordic",1,4,3,2,positivo
colemanstove,4.4,76561198077890942,mx vs. atv reflex,Lost all my progress when I started game up recently,"['Racing', 'Offroad', 'Sports', 'Multiplayer', 'Singleplayer', 'Open World', 'Action', 'Simulation', 'Moddable']",Very Positive,"Double Helix Games,Rainbow Studios,THQ Nordic",1,2,2,3,negativo
ÇR@ZY ÇAT,198.3,76561198015831333,mx vs. atv reflex,woop woop,"['Racing', 'Offroad', 'Sports', 'Multiplayer', 'Singleplayer', 'Open World', 'Action', 'Simulation', 'Moddable']",Very Positive,"Double Helix Games,Rainbow Studios,THQ Nordic",1,4,3,2,positivo
TriTTon,22.8,76561198045452858,mx vs. atv reflex,Ultra Amazing Game. Enouth said,"['Racing', 'Offroad', 'Sports', 'Multiplayer', 'Singleplayer', 'Open World', 'Action', 'Simulation', 'Moddable']",Very Positive,"Double Helix Games,Rainbow Studios,THQ Nordic",1,5,4,3,positivo
