username,hours,user_id,title,text,tags,sentiment,developer,narrativa,jugabilidad,atmósfera,dificultad,tono_emocional
ShadowTemplar59,31.7,76561198005846873,grim fandango remastered,"Grim Fandango is my first adventure into the Point and Click genre and I am loving every minute of it. From the quirky humor to the ""smooth"" looking art style this game ozzes charm. I now see why this game is considered a classic by many people years after its realease.","['Adventure', 'Classic', 'Point & Click', 'Comedy', 'Story Rich', 'Noir', 'Cult Classic', 'Great Soundtrack', 'Singleplayer', 'Remake', 'Atmospheric', 'Puzzle', 'Retro', 'Funny', 'Dark Humor', ""1990's"", 'Indie', 'Third Person', 'Open World', 'Difficult']",Very Positive,Double Fine Productions,5,5,5,3,positivo
General Nuclear,12.4,76561198046911536,grim fandango remastered,"A classic point and click adventure thats a Mix of Dieselpunk with the mexican belief of the after life. If you are into point and click adventure games then i suggest this game no matter what your beliefs are, because at near end it has a important moral lesson that counts for all religions. If you are new to point and click adventure games then there are no shame in useing a walkthrough ones in a while because it can be a little hard without, just don't use it throughout the whole game.","['Adventure', 'Classic', 'Point & Click', 'Comedy', 'Story Rich', 'Noir', 'Cult Classic', 'Great Soundtrack', 'Singleplayer', 'Remake', 'Atmospheric', 'Puzzle', 'Retro', 'Funny', 'Dark Humor', ""1990's"", 'Indie', 'Third Person', 'Open World', 'Difficult']",Very Positive,Double Fine Productions,5,4,5,3,positivo
dcurtino,14.8,76561198059801966,grim fandango remastered,"What could possibly be said of one of the greatest graphic adventures ever? It has all the elements that allow them trascend time and become classics: odd yet funny story, sarcastic dialogs, very ""particular"" characters with no lack of personality. It is a must for anyone that has enjoyed the golden era of graphic adventures (or want to experience why people constantly refer to them as exponents of great games). It belongs right there next to the ""Monkey Island"" and Indiana Jones series, Sam & Max or Maniac Mansion.","['Adventure', 'Classic', 'Point & Click', 'Comedy', 'Story Rich', 'Noir', 'Cult Classic', 'Great Soundtrack', 'Singleplayer', 'Remake', 'Atmospheric', 'Puzzle', 'Retro', 'Funny', 'Dark Humor', ""1990's"", 'Indie', 'Third Person', 'Open World', 'Difficult']",Very Positive,Double Fine Productions,5,5,5,3,positivo
5thCartwheel,21.7,76561198011786020,grim fandango remastered,"For me, ""Grim Fandango"" is the best game I've ever played. And I am really happy that I can play it again. If you don't know the story of Manny and Meche, and you like adventure games, I strongly recommend this one. If you played original version, I encourage you to try how good the remaster is!","['Adventure', 'Classic', 'Point & Click', 'Comedy', 'Story Rich', 'Noir', 'Cult Classic', 'Great Soundtrack', 'Singleplayer', 'Remake', 'Atmospheric', 'Puzzle', 'Retro', 'Funny', 'Dark Humor', ""1990's"", 'Indie', 'Third Person', 'Open World', 'Difficult']",Very Positive,Double Fine Productions,5,5,5,3,positivo
Haywire,10.9,76561198008051778,grim fandango remastered,"Let's put it like this: played it when it came out in 1998, played it again. Still my top 5 of all time","['Adventure', 'Classic', 'Point & Click', 'Comedy', 'Story Rich', 'Noir', 'Cult Classic', 'Great Soundtrack', 'Singleplayer', 'Remake', 'Atmospheric', 'Puzzle', 'Retro', 'Funny', 'Dark Humor', ""1990's"", 'Indie', 'Third Person', 'Open World', 'Difficult']",Very Positive,Double Fine Productions,5,5,5,3,positivo
Ianscool,24.3,76561198045730876,grim fandango remastered,"Grim Fandango, probably the best point and click adventure,  that follows the (not so alive) life of Manuel Calavera, this game has a great atmosphere mixed with some Mexican culture, it is a Classic totally worth playing. This game is the living example of an excellent game, even back in 1998 and, in my humble opinion, one of the top 10 best games of all time. Totally worth every penny.","['Adventure', 'Classic', 'Point & Click', 'Comedy', 'Story Rich', 'Noir', 'Cult Classic', 'Great Soundtrack', 'Singleplayer', 'Remake', 'Atmospheric', 'Puzzle', 'Retro', 'Funny', 'Dark Humor', ""1990's"", 'Indie', 'Third Person', 'Open World', 'Difficult']",Very Positive,Double Fine Productions,5,5,5,3,positivo
kosmaskosmas,8.6,76561198122339140,grim fandango remastered,This game is perfect in any way... So proud I bought it in '98...!!! Great job remastering this masterpiece!,"['Adventure', 'Classic', 'Point & Click', 'Comedy', 'Story Rich', 'Noir', 'Cult Classic', 'Great Soundtrack', 'Singleplayer', 'Remake', 'Atmospheric', 'Puzzle', 'Retro', 'Funny', 'Dark Humor', ""1990's"", 'Indie', 'Third Person', 'Open World', 'Difficult']",Very Positive,Double Fine Productions,5,5,5,3,positivo
Captin,8.9,76561198039108757,grim fandango remastered,"This game and its story both hold up really well over time. I've played this probably 8 times over the ages and yet even after I play this remastered version I still find things I missed. To add to this I'd highly suggest that any player, new or returning, play with director's commentary turned on. You can choose to activate the commentary at certain points within the game, it doesn't force itself into the gameplay. For those looking for a completely updated graphical experience, well you won't find it here. This is mostly because the pre-rendered backgrounds are just that...pre-rendered. They would likely have to re-create the sets entirely for todays widescreen resolutions. The 3d rendered characters were greatly improved however. I would highly recommend playing this if you enjoy any sort of story driven adventure game.","['Adventure', 'Classic', 'Point & Click', 'Comedy', 'Story Rich', 'Noir', 'Cult Classic', 'Great Soundtrack', 'Singleplayer', 'Remake', 'Atmospheric', 'Puzzle', 'Retro', 'Funny', 'Dark Humor', ""1990's"", 'Indie', 'Third Person', 'Open World', 'Difficult']",Very Positive,Double Fine Productions,5,4,4,3,positivo
goose,10.6,76561198077233873,grim fandango remastered,"i loved this game. despite the bugs, glitches. and bad aging, this game has amazing dialogue and an exceptional story.it only lasted 10 hours for me, but theyre 10 hours im not forgetting anytime soon. i defenitely reccomend this not just to point and click fans, but to anyone really. a wild ride","['Adventure', 'Classic', 'Point & Click', 'Comedy', 'Story Rich', 'Noir', 'Cult Classic', 'Great Soundtrack', 'Singleplayer', 'Remake', 'Atmospheric', 'Puzzle', 'Retro', 'Funny', 'Dark Humor', ""1990's"", 'Indie', 'Third Person', 'Open World', 'Difficult']",Very Positive,Double Fine Productions,5,4,5,3,positivo
Rupolo,10.6,76561198249858440,grim fandango remastered,I love the original but this version is riddled with bugs. I had to replay the second year after my savegame became corrupted and at the beginning of the 4 year the background decided I still was fighting Domino on top of the submarine. I don't remember the original being so buggy. Sadly I have to recommend pass on this one.,"['Adventure', 'Classic', 'Point & Click', 'Comedy', 'Story Rich', 'Noir', 'Cult Classic', 'Great Soundtrack', 'Singleplayer', 'Remake', 'Atmospheric', 'Puzzle', 'Retro', 'Funny', 'Dark Humor', ""1990's"", 'Indie', 'Third Person', 'Open World', 'Difficult']",Very Positive,Double Fine Productions,4,2,4,3,negativo
