username,hours,user_id,title,text,tags,sentiment,developer,narrativa,jugabilidad,atmósfera,dificultad,tono_emocional
xenoscion,133.3,76561198003266351,divinity: original sin (classic),"This game is phenomenal. I am glad its out of alpha / beta as the reloads where tedious. However this game is a bit ultima, a bit morrwind. There is a amazing amount of things to do and discover. I believe they said 30 hours , is the complete game time. I have 130+ granted I would say a 3rd of that time is alpha/beta time log. However the rest is release. I have not yet played co-op so I cannot comment. Its the best game (RPG) I have played in a very long time.","['RPG', 'Turn-Based', 'Co-op', 'Fantasy', 'Adventure', 'Strategy', 'Isometric', 'Open World', 'CRPG', 'Story Rich', 'Kickstarter', 'Indie', 'Multiplayer', 'Singleplayer', 'Turn-Based Strategy', 'Magic', 'Crowdfunded', 'Online Co-Op', 'Atmospheric', 'Female Protagonist']",Very Positive,Larian Studios,5,5,5,3,positivo
Jokulan,20.8,76561198014454161,divinity: original sin (classic),Everything you do had an effect. Combat is awesome and story too. Exploration is rewarded. This RPG has everything you could whis from RPG.,"['RPG', 'Turn-Based', 'Co-op', 'Fantasy', 'Adventure', 'Strategy', 'Isometric', 'Open World', 'CRPG', 'Story Rich', 'Kickstarter', 'Indie', 'Multiplayer', 'Singleplayer', 'Turn-Based Strategy', 'Magic', 'Crowdfunded', 'Online Co-Op', 'Atmospheric', 'Female Protagonist']",Very Positive,Larian Studios,5,5,5,3,positivo
Morpheus,124.2,76561197989130632,divinity: original sin (classic),its good buy it,"['RPG', 'Turn-Based', 'Co-op', 'Fantasy', 'Adventure', 'Strategy', 'Isometric', 'Open World', 'CRPG', 'Story Rich', 'Kickstarter', 'Indie', 'Multiplayer', 'Singleplayer', 'Turn-Based Strategy', 'Magic', 'Crowdfunded', 'Online Co-Op', 'Atmospheric', 'Female Protagonist']",Very Positive,Larian Studios,3,4,4,3,positivo
blinelik1,111.5,76561198007263774,divinity: original sin (classic),"Unplayable. Quits every second save and hangs at load(v 1.051 or some). Wait for year of patches and sale. Changed to recommended. You have to be clear that it has nothing to do with role-playing though - there is simply none. No choice, no consecuences - no RP. Tactical combat is quite solid though, can't downvote that. Below are thingies thet kept it below recommended: Upd1. after some play between 1.051 and 1.057 saving improved a bit, now it's like once in 6 times. Didn't hang at all in Black Cove, so I thought thats issue for global map, but handged a few times in Arhu's robot cave. Upd2. Same rate of hangs in murder quest cave - i.e. no improvement. LordCrash, thanks for comment - WinPro 32 doesnt seem too obsolete system, I will check upgrade to 64 bits(prolly free), but 4 Gb will not change - win 32 uses less then 4, and I plan moving to 16 with next PC, broadwell+ based. For now my setup seems average+, if Larian made it for only 64s - well, their choice. Arcanum is running ok on it, rest in my profile, so system is ok. Probably tracking that bug is one of built-in quests. Still cant recommend, will keep updating. May be.","['RPG', 'Turn-Based', 'Co-op', 'Fantasy', 'Adventure', 'Strategy', 'Isometric', 'Open World', 'CRPG', 'Story Rich', 'Kickstarter', 'Indie', 'Multiplayer', 'Singleplayer', 'Turn-Based Strategy', 'Magic', 'Crowdfunded', 'Online Co-Op', 'Atmospheric', 'Female Protagonist']",Very Positive,Larian Studios,1,2,3,2,negativo
Gaudaloht,108.4,76561198005033755,divinity: original sin (classic),"Alright now with the game fully released i have to say, its going to be the next CRPG of cult, on some years you are going to hear, remember original sin? man that was a great game you should try it, but you are reading this review, so dont wait for the future and play it now! Game so far is AMUZIN","['RPG', 'Turn-Based', 'Co-op', 'Fantasy', 'Adventure', 'Strategy', 'Isometric', 'Open World', 'CRPG', 'Story Rich', 'Kickstarter', 'Indie', 'Multiplayer', 'Singleplayer', 'Turn-Based Strategy', 'Magic', 'Crowdfunded', 'Online Co-Op', 'Atmospheric', 'Female Protagonist']",Very Positive,Larian Studios,4,5,5,3,positivo
Fallschirmjäger,29.3,76561198006652122,divinity: original sin (classic),"This game brings back memories of baldurs gate/icewind dale and how addictive that was when I was a kid, love it","['RPG', 'Turn-Based', 'Co-op', 'Fantasy', 'Adventure', 'Strategy', 'Isometric', 'Open World', 'CRPG', 'Story Rich', 'Kickstarter', 'Indie', 'Multiplayer', 'Singleplayer', 'Turn-Based Strategy', 'Magic', 'Crowdfunded', 'Online Co-Op', 'Atmospheric', 'Female Protagonist']",Very Positive,Larian Studios,4,5,5,3,positivo
Cattleprod,49.7,76561198001280762,divinity: original sin (classic),"Refreshing - Great Combat.  Good pace.  Slightly overwhelming to a noob... but that makes it great fun! I've never been a fan of reading storyline or extensive dialog, but I realize that comes with the genre. I would recommend to anyone who wants a step back from fast paced shooters or rushing - linear gameplay of Diablo.  I welcome the change! Great Fun.  Hope more friends buy it!","['RPG', 'Turn-Based', 'Co-op', 'Fantasy', 'Adventure', 'Strategy', 'Isometric', 'Open World', 'CRPG', 'Story Rich', 'Kickstarter', 'Indie', 'Multiplayer', 'Singleplayer', 'Turn-Based Strategy', 'Magic', 'Crowdfunded', 'Online Co-Op', 'Atmospheric', 'Female Protagonist']",Very Positive,Larian Studios,3,5,4,3,positivo
greenmark1979,7.5,76561197992693887,divinity: original sin (classic),"Its pretty, the story is well developed and yes combat is well executed. Other than that, this throwback to the days of Baldur's Gate, et all, is just not fun for me anymore. It may be for you, but for someone who doesnt have the requisite dozens upons dozens of hours to invest, it just...isnt...quite.......fun. Sorry.","['RPG', 'Turn-Based', 'Co-op', 'Fantasy', 'Adventure', 'Strategy', 'Isometric', 'Open World', 'CRPG', 'Story Rich', 'Kickstarter', 'Indie', 'Multiplayer', 'Singleplayer', 'Turn-Based Strategy', 'Magic', 'Crowdfunded', 'Online Co-Op', 'Atmospheric', 'Female Protagonist']",Very Positive,Larian Studios,4,2,4,3,negativo
Strapping Young Chad,56.2,76561198003914311,divinity: original sin (classic),"amazing game, watch the hours go up.  It's gonna be up there with mount and blade in my most activity someday.  The combat is fantastic and the writing is even better","['RPG', 'Turn-Based', 'Co-op', 'Fantasy', 'Adventure', 'Strategy', 'Isometric', 'Open World', 'CRPG', 'Story Rich', 'Kickstarter', 'Indie', 'Multiplayer', 'Singleplayer', 'Turn-Based Strategy', 'Magic', 'Crowdfunded', 'Online Co-Op', 'Atmospheric', 'Female Protagonist']",Very Positive,Larian Studios,5,5,5,3,positivo
jammey97,6.8,76561197968493580,divinity: original sin (classic),Fantastic!,"['RPG', 'Turn-Based', 'Co-op', 'Fantasy', 'Adventure', 'Strategy', 'Isometric', 'Open World', 'CRPG', 'Story Rich', 'Kickstarter', 'Indie', 'Multiplayer', 'Singleplayer', 'Turn-Based Strategy', 'Magic', 'Crowdfunded', 'Online Co-Op', 'Atmospheric', 'Female Protagonist']",Very Positive,Larian Studios,4,5,5,3,positivo
