username,hours,user_id,title,text,tags,sentiment,developer,narrativa,jugabilidad,atmósfera,dificultad,tono_emocional
Decoyed,2.9,76561198017567874,x-blades,Unresponsive combat.  Feels like you just mash attack until you can mash a spell.  Good luck getting anything that requires a sequence or more than one button to register. Voice acting is awful which matches the story. You can probably find better games that won't be a waste of time.,"['Action', 'Hack and Slash', 'Female Protagonist', 'RPG', 'Anime', 'Adventure', 'Nudity', 'Singleplayer', 'Fantasy', 'Violent', 'Character Action Game', 'Third Person', 'Great Soundtrack']",Mixed,Gaijin Entertainment,1,1,1,2,negativo
rat day soon boys,29.7,76561198150478124,x-blades,This game is awful. It gave me a migraine.,"['Action', 'Hack and Slash', 'Female Protagonist', 'RPG', 'Anime', 'Adventure', 'Nudity', 'Singleplayer', 'Fantasy', 'Violent', 'Character Action Game', 'Third Person', 'Great Soundtrack']",Mixed,Gaijin Entertainment,1,1,1,2,negativo
chab bilal,1.2,76561198179523871,x-blades,i like how her boobs bounce when she moves :D,"['Action', 'Hack and Slash', 'Female Protagonist', 'RPG', 'Anime', 'Adventure', 'Nudity', 'Singleplayer', 'Fantasy', 'Violent', 'Character Action Game', 'Third Person', 'Great Soundtrack']",Mixed,Gaijin Entertainment,1,3,2,2,positivo
miner4niner,2.6,76561198005010914,x-blades,This games is all about that♥♥♥♥♥!!. Fun game. Quite short. Basically it puts you in an arena with spawning monsters and an occasional boss. After you clear the area you move on. Repeat till you finish. The game does has a story ( I originally played this game in russian so i did not understand much) so if the pleasure of killing hordes of monsters is not enough you can play it for the story ( nothing extraordinary). I got it on a sale. Worth a few bucks (one pack of cigarrets less).,"['Action', 'Hack and Slash', 'Female Protagonist', 'RPG', 'Anime', 'Adventure', 'Nudity', 'Singleplayer', 'Fantasy', 'Violent', 'Character Action Game', 'Third Person', 'Great Soundtrack']",Mixed,Gaijin Entertainment,2,4,3,2,positivo
it's just a prank bro,0.1,76561198084972003,x-blades,"I enjoyed it back in the days when it was Oniblade but forgot about it, now I see I get a coupon for 90% off something called XBlades. I check it out and get excited :D","['Action', 'Hack and Slash', 'Female Protagonist', 'RPG', 'Anime', 'Adventure', 'Nudity', 'Singleplayer', 'Fantasy', 'Violent', 'Character Action Game', 'Third Person', 'Great Soundtrack']",Mixed,Gaijin Entertainment,3,4,4,3,positivo
TheStoryteller01,5.7,76561197989421071,x-blades,"2/10 - this blade is blunt A serious contestant for the ""Worse Voice Acting"" award - and the rest is pretty bad too. Boring flat arena-like maps, repetetive gameplay, a sorry excuse of a story and combat that's either button mashing or auto-kill (if you don't give up on the controls first). So bad, it's almost  funny. No, seriously - it's just bad.","['Action', 'Hack and Slash', 'Female Protagonist', 'RPG', 'Anime', 'Adventure', 'Nudity', 'Singleplayer', 'Fantasy', 'Violent', 'Character Action Game', 'Third Person', 'Great Soundtrack']",Mixed,Gaijin Entertainment,1,1,1,2,negativo
Pvt. Nelson,5.7,76561198120815879,x-blades,";w; I cant pass that damned deadly Well,Take this 8/10","['Action', 'Hack and Slash', 'Female Protagonist', 'RPG', 'Anime', 'Adventure', 'Nudity', 'Singleplayer', 'Fantasy', 'Violent', 'Character Action Game', 'Third Person', 'Great Soundtrack']",Mixed,Gaijin Entertainment,3,4,4,4,positivo
Toxic Larva,1.1,76561198042590261,x-blades,I don't recommend this game,"['Action', 'Hack and Slash', 'Female Protagonist', 'RPG', 'Anime', 'Adventure', 'Nudity', 'Singleplayer', 'Fantasy', 'Violent', 'Character Action Game', 'Third Person', 'Great Soundtrack']",Mixed,Gaijin Entertainment,1,2,2,3,negativo
Syotebi  collectskins.com,2.9,76561198234926548,x-blades,not bad could be worse,"['Action', 'Hack and Slash', 'Female Protagonist', 'RPG', 'Anime', 'Adventure', 'Nudity', 'Singleplayer', 'Fantasy', 'Violent', 'Character Action Game', 'Third Person', 'Great Soundtrack']",Mixed,Gaijin Entertainment,2,3,3,2,neutral
Rakros39,14.3,76561198057941469,x-blades,"Very reminiscent game, has a flair of the N64 Zelda and Gamecube Metroid genre with modern rpg elements like: leveling up skills through souls and artifacts found throughout the game world. With bright colors, flashy skills, challenging bosses, modes of difficulty, comes with a window mode and interesting story line! It's been a really enjoyable game!","['Action', 'Hack and Slash', 'Female Protagonist', 'RPG', 'Anime', 'Adventure', 'Nudity', 'Singleplayer', 'Fantasy', 'Violent', 'Character Action Game', 'Third Person', 'Great Soundtrack']",Mixed,Gaijin Entertainment,4,4,4,3,positivo
