username,hours,user_id,title,text,tags,sentiment,developer,narrativa,jugabilidad,atmósfera,dificultad,tono_emocional
Bohandas,4.0,76561198021656095,vertiginous golf,"This game's pretty interesting (albeit not quite as interesting as it looks in the ad, but still interesting enough to play) Unlike the dev's description I'd describe the theme as more ""trippy"" than ""steampunk"" though.","['Sports', 'Golf', 'Indie', 'Steampunk', 'Mini Golf', 'Local Multiplayer', 'Singleplayer', 'Multiplayer', 'Dystopian', 'Psychological Horror']",Mixed,Kinelco &amp; Lone Elk Creative,3,4,3,2,neutral
jumpingpantoffel,2.8,76561198054197687,vertiginous golf,lekker,"['Sports', 'Golf', 'Indie', 'Steampunk', 'Mini Golf', 'Local Multiplayer', 'Singleplayer', 'Multiplayer', 'Dystopian', 'Psychological Horror']",Mixed,Kinelco &amp; Lone Elk Creative,2,3,3,2,neutral
njhuiz,0.6,76561198025302198,vertiginous golf,A steam punk version of mini golf with a storyline. Easily the best mini golf game I've played.,"['Sports', 'Golf', 'Indie', 'Steampunk', 'Mini Golf', 'Local Multiplayer', 'Singleplayer', 'Multiplayer', 'Dystopian', 'Psychological Horror']",Mixed,Kinelco &amp; Lone Elk Creative,4,5,4,2,positivo
InfiniteSpace,1.3,76561198098712972,vertiginous golf,Like skyrim but with more golf 10/10 - IGN,"['Sports', 'Golf', 'Indie', 'Steampunk', 'Mini Golf', 'Local Multiplayer', 'Singleplayer', 'Multiplayer', 'Dystopian', 'Psychological Horror']",Mixed,Kinelco &amp; Lone Elk Creative,3,5,4,2,positivo
ChronoWizard,0.4,76561198056396175,vertiginous golf,"Hey everyone, just wanted to share my own opinion on this mixed review game. I got this game for free somehow (can't remember how) and i haven't played it a whole lot. but the time that i've spent in it has been enjoyable. I skipped the story, and had no idea there was one until i read other reviews. The game itself is pretty awesome. i like it a lot. Setting: Steampunk minigolf. The controls: Not bad. many people are complaining but it's very simple. left click and move to rotate/move camera, scroll to zoom in/out. hold right click and move back to adjust power and then let go to swing and hit the ball. I have had no problems with the controls, they all seem pretty natural to me. Plus, you get to scout ahead with a steam machine bird so you can plan your shots better. The railings: yeah.. that's one where i have a slight problem with. There are a lack of railings in the game, so many times my ball will fly off of the map. the levels themselves are pretty awesome though. always challenging in one way or another. The Ball: kind of bouncy. it's like a ping pong ball. The Golf Clubs: ""you only get to choose from two"" - it's minigolf man. you only need one. overall: 7.5/10 - I'd recommend the game for anyone who enjoys minigolf games.","['Sports', 'Golf', 'Indie', 'Steampunk', 'Mini Golf', 'Local Multiplayer', 'Singleplayer', 'Multiplayer', 'Dystopian', 'Psychological Horror']",Mixed,Kinelco &amp; Lone Elk Creative,2,4,4,3,positivo
dreadme1989,0.3,76561198035492528,vertiginous golf,"Haven't played much but one thing is certain after playing through a course. This game got a bum rap. After reading some of the reviews it seems like the game has had many quality of life improvements since they were written. 1) They have about 20 different putters/chippers you can unlock with in-game earnings. 2) They have added a ball trajectory predictor. Overall I've found it a very fun and reminiscent of Mario Golf (Minus the copywritten characters and cartoonish graphics). I'd give it a 8/10. But for right now, it's free so what more could you possibly want?!","['Sports', 'Golf', 'Indie', 'Steampunk', 'Mini Golf', 'Local Multiplayer', 'Singleplayer', 'Multiplayer', 'Dystopian', 'Psychological Horror']",Mixed,Kinelco &amp; Lone Elk Creative,2,4,3,2,positivo
The Fourth Variety,0.4,76561198048241744,vertiginous golf,"Play mini-golf, get money, Buy facial hair and a stupid hat... God I wish I could hit the hummingbird with my chipper. Hipster garbage.","['Sports', 'Golf', 'Indie', 'Steampunk', 'Mini Golf', 'Local Multiplayer', 'Singleplayer', 'Multiplayer', 'Dystopian', 'Psychological Horror']",Mixed,Kinelco &amp; Lone Elk Creative,1,2,2,3,negativo
AveryBig,0.5,76561198152016698,vertiginous golf,I found this game lacking in almost every catagory. The mechanics and rewind system is strange and unclear but the most notable issue is probably the fact that the maps are simply too boring and far too convoluted at the same time and at some parts also simply frustrating. Overall I must recomend that you all do NOT pay money for this extremely boring game when there are so many better Golfing games on the steam store.,"['Sports', 'Golf', 'Indie', 'Steampunk', 'Mini Golf', 'Local Multiplayer', 'Singleplayer', 'Multiplayer', 'Dystopian', 'Psychological Horror']",Mixed,Kinelco &amp; Lone Elk Creative,1,1,1,2,negativo
Captain Tomofrog,2.8,76561198024310116,vertiginous golf,This game would have been great if the controls weren't awkward and the level creator wasn't stupidly hard to use. Thank goodness I got this when it was free.,"['Sports', 'Golf', 'Indie', 'Steampunk', 'Mini Golf', 'Local Multiplayer', 'Singleplayer', 'Multiplayer', 'Dystopian', 'Psychological Horror']",Mixed,Kinelco &amp; Lone Elk Creative,1,2,3,4,negativo
Bear,0.6,76561198133731452,vertiginous golf,whant to test you pc uninstaller ?get this load of bs,"['Sports', 'Golf', 'Indie', 'Steampunk', 'Mini Golf', 'Local Multiplayer', 'Singleplayer', 'Multiplayer', 'Dystopian', 'Psychological Horror']",Mixed,Kinelco &amp; Lone Elk Creative,1,1,1,2,negativo
Spyhunter,0.9,76561198001147636,vertiginous golf,"Thanks DEV for free release! =) very nice game! It's not a normal minigolf ....... it's a crazy one with weapons, glue bombs to fight against your friends and have fun with something new! Thanks again DEV good job!","['Sports', 'Golf', 'Indie', 'Steampunk', 'Mini Golf', 'Local Multiplayer', 'Singleplayer', 'Multiplayer', 'Dystopian', 'Psychological Horror']",Mixed,Kinelco &amp; Lone Elk Creative,2,4,3,2,positivo
APESHIT,0.3,76561197974078251,vertiginous golf,"Horrible game, would not pay money for this.   I got it for free, and almost feel ripped off.","['Sports', 'Golf', 'Indie', 'Steampunk', 'Mini Golf', 'Local Multiplayer', 'Singleplayer', 'Multiplayer', 'Dystopian', 'Psychological Horror']",Mixed,Kinelco &amp; Lone Elk Creative,1,1,1,2,negativo
Supernova,0.5,76561198157680321,vertiginous golf,This game is stupid,"['Sports', 'Golf', 'Indie', 'Steampunk', 'Mini Golf', 'Local Multiplayer', 'Singleplayer', 'Multiplayer', 'Dystopian', 'Psychological Horror']",Mixed,Kinelco &amp; Lone Elk Creative,1,1,2,2,negativo
Isän Palsternakka,5.3,76561198056492825,vertiginous golf,This is THE WORST GAME EVER. This has nothing to do with golf!!!!,"['Sports', 'Golf', 'Indie', 'Steampunk', 'Mini Golf', 'Local Multiplayer', 'Singleplayer', 'Multiplayer', 'Dystopian', 'Psychological Horror']",Mixed,Kinelco &amp; Lone Elk Creative,0,1,1,2,negativo
particleboy,0.2,76561198036996294,vertiginous golf,"This game is weird, a little disturbing, frustrating, annoying, and it's Golf. I loved it!","['Sports', 'Golf', 'Indie', 'Steampunk', 'Mini Golf', 'Local Multiplayer', 'Singleplayer', 'Multiplayer', 'Dystopian', 'Psychological Horror']",Mixed,Kinelco &amp; Lone Elk Creative,2,4,3,3,positivo
