username,hours,user_id,title,text,tags,sentiment,developer,narrativa,jugabilidad,atmósfera,dificultad,tono_emocional
Saint_Pain,418.9,76561198032106070,saints row: gat out of hell,Hell never seemed like so much FUN ! Dig your own grave ~ It's worth it ~;),"['Action', 'Open World', 'Comedy', 'Co-op', 'Third Person', 'Funny', 'Demons', 'Adventure', 'Third-Person Shooter', 'Multiplayer', 'Singleplayer', 'Sandbox', 'Shooter', 'Atmospheric', 'Dark Humor', 'Female Protagonist', 'Online Co-Op', 'Mature', 'Gore', 'First-Person']",Mostly Positive,"Deep Silver Volition,High Voltage Software",3,4,4,2,positivo
Gokarts,1.6,76561197981868176,saints row: gat out of hell,lol,"['Action', 'Open World', 'Comedy', 'Co-op', 'Third Person', 'Funny', 'Demons', 'Adventure', 'Third-Person Shooter', 'Multiplayer', 'Singleplayer', 'Sandbox', 'Shooter', 'Atmospheric', 'Dark Humor', 'Female Protagonist', 'Online Co-Op', 'Mature', 'Gore', 'First-Person']",Mostly Positive,"Deep Silver Volition,High Voltage Software",1,3,3,2,positivo
Kyote,7.9,76561197960282791,saints row: gat out of hell,"While it's got a lot missing (the gestures, the soundtrack, the main quests) it's still got fun mini games, and the flying mechanic is great.","['Action', 'Open World', 'Comedy', 'Co-op', 'Third Person', 'Funny', 'Demons', 'Adventure', 'Third-Person Shooter', 'Multiplayer', 'Singleplayer', 'Sandbox', 'Shooter', 'Atmospheric', 'Dark Humor', 'Female Protagonist', 'Online Co-Op', 'Mature', 'Gore', 'First-Person']",Mostly Positive,"Deep Silver Volition,High Voltage Software",2,4,3,2,positivo
Becty,11.7,76561198066949908,saints row: gat out of hell,"More of the good, more of the bad. In short, if you liked SR 4 - even slightly - you're probably going to like this. If you absolutely hated SR 4 - along with fun, and other such humbug - this is probably not up your alley. This is Saint's Row 4, and I mean that in a surprisingly good way. Fair warning, though: this isn't really a sandbox, this is a DLC campaign in the flimsy guise of a sandbox. Again, I mean that in a surprisingly good way. Once you get over the shock of not being able to play an entirely original (big fat black woman, punkrocker asian, white person in steampunk-gear) character of your choosing, or even remotely customize your character (I mean, who's to say Kinzie aren't a nudist all of a sudden?), this. is. fun. The gunplay feels nice - if exaggarated. The flying feels nice - if exaggarated. The driving (what little you need to do) feels nice - if exaggarated. Seeing the pattern here? Gat out of hell is nice - if exaggarated. In every way. Now, there are so many things wrong with this game - like how the enemies (in black and red) are almost indestuingishable from the background AND foreground of the game (That's black and red), or how the weapons are next to useless unless upgraded to hell, (Pun not intended. Besides, it's actually pretty easy to get enough cash to upgrade at least one weapon (shotgun recommended) and you can have that last you pretty long.) But at the end of it it's just a ton of fun, mixed with some annoyance, and a healthy dosage of more fun. This might just be my new go-to game when I just want to, well, play.","['Action', 'Open World', 'Comedy', 'Co-op', 'Third Person', 'Funny', 'Demons', 'Adventure', 'Third-Person Shooter', 'Multiplayer', 'Singleplayer', 'Sandbox', 'Shooter', 'Atmospheric', 'Dark Humor', 'Female Protagonist', 'Online Co-Op', 'Mature', 'Gore', 'First-Person']",Mostly Positive,"Deep Silver Volition,High Voltage Software",3,4,4,2,positivo
Rick,37.0,76561198354208059,saints row: gat out of hell,"Awesome as always. If you're a fan of Saints Row franchise then you defenetely gotta play this one too. P.S Thx for lettin' us play as Kinzie, that was Hell of a fun.","['Action', 'Open World', 'Comedy', 'Co-op', 'Third Person', 'Funny', 'Demons', 'Adventure', 'Third-Person Shooter', 'Multiplayer', 'Singleplayer', 'Sandbox', 'Shooter', 'Atmospheric', 'Dark Humor', 'Female Protagonist', 'Online Co-Op', 'Mature', 'Gore', 'First-Person']",Mostly Positive,"Deep Silver Volition,High Voltage Software",4,5,4,2,positivo
adheper,0.7,76561198015795958,saints row: gat out of hell,"A very, *very* big let-down after SR4. Unless you love the activities and find the story a menace, then this is for you. Otherwise... just no.","['Action', 'Open World', 'Comedy', 'Co-op', 'Third Person', 'Funny', 'Demons', 'Adventure', 'Third-Person Shooter', 'Multiplayer', 'Singleplayer', 'Sandbox', 'Shooter', 'Atmospheric', 'Dark Humor', 'Female Protagonist', 'Online Co-Op', 'Mature', 'Gore', 'First-Person']",Mostly Positive,"Deep Silver Volition,High Voltage Software",1,2,3,2,negativo
chris {kck},20.5,76561198011996989,saints row: gat out of hell,hi does anyone know what the email is for the producers of this game?,"['Action', 'Open World', 'Comedy', 'Co-op', 'Third Person', 'Funny', 'Demons', 'Adventure', 'Third-Person Shooter', 'Multiplayer', 'Singleplayer', 'Sandbox', 'Shooter', 'Atmospheric', 'Dark Humor', 'Female Protagonist', 'Online Co-Op', 'Mature', 'Gore', 'First-Person']",Mostly Positive,"Deep Silver Volition,High Voltage Software",1,2,3,2,neutral
FIDEK,11.5,76561198076290658,saints row: gat out of hell,"It should be just another add-on to Saint's Row 4, not a independent product. It's a bare bone gameplay of mini challenges well known from SR 3 and 4. Main quests are nothing else like copy-paste o those and you can end them like in 4 hours or less. After that you stay with more of this same, without any purpose to do it. Story is practicly non existing. Game feels like there was a plenty cutted from scenario. Humor which was always strong or at least characteristic for series, almost doesn't exist.  How they managed making it with Vlad The Impaler, Blackbeard and Shakespeare in HELL and didn't use them in any other way as generators for quests is beyond understanding!!! Gat out of hell is like box. Pretty looking box with emptiness inside. Don't buy it unless is on 75% or lower discount and only if you are fan of the series.","['Action', 'Open World', 'Comedy', 'Co-op', 'Third Person', 'Funny', 'Demons', 'Adventure', 'Third-Person Shooter', 'Multiplayer', 'Singleplayer', 'Sandbox', 'Shooter', 'Atmospheric', 'Dark Humor', 'Female Protagonist', 'Online Co-Op', 'Mature', 'Gore', 'First-Person']",Mostly Positive,"Deep Silver Volition,High Voltage Software",1,2,3,2,negativo
cbriggs1134,3.9,76561198049847962,saints row: gat out of hell,do not buy   training lebvel is unbeatable and game is total ♥♥♥♥♥♥♥,"['Action', 'Open World', 'Comedy', 'Co-op', 'Third Person', 'Funny', 'Demons', 'Adventure', 'Third-Person Shooter', 'Multiplayer', 'Singleplayer', 'Sandbox', 'Shooter', 'Atmospheric', 'Dark Humor', 'Female Protagonist', 'Online Co-Op', 'Mature', 'Gore', 'First-Person']",Mostly Positive,"Deep Silver Volition,High Voltage Software",1,1,2,5,negativo
Clemm,0.9,76561198103688246,saints row: gat out of hell,"It can be played, but to be honest; game is too short.","['Action', 'Open World', 'Comedy', 'Co-op', 'Third Person', 'Funny', 'Demons', 'Adventure', 'Third-Person Shooter', 'Multiplayer', 'Singleplayer', 'Sandbox', 'Shooter', 'Atmospheric', 'Dark Humor', 'Female Protagonist', 'Online Co-Op', 'Mature', 'Gore', 'First-Person']",Mostly Positive,"Deep Silver Volition,High Voltage Software",2,3,3,2,neutral
